bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,2,25.0
Batter_1,Sinker,5,62.5
Batter_1,Sweeper,1,12.5
Batter_2,4-Seam Fastball,3,37.5
Batter_2,Sinker,1,12.5
Batter_2,Sweeper,4,50.0
Batter_3,4-Seam Fastball,4,50.0
Batter_3,Curveball,1,12.5
Batter_3,Sinker,3,37.5
Inning_2_leadoff,4-Seam Fastball,3,37.5
Inning_2_leadoff,Changeup,2,25.0
Inning_2_leadoff,Sinker,1,12.5
Inning_2_leadoff,Slider,1,12.5
Inning_2_leadoff,Sweeper,1,12.5
Inning_3_leadoff,4-Seam Fastball,2,28.6
Inning_3_leadoff,Curveball,1,14.3
Inning_3_leadoff,Sinker,1,14.3
Inning_3_leadoff,Slider,1,14.3
Inning_3_leadoff,Sweeper,2,28.6
