bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,1,16.7
Batter_1,Sinker,4,66.7
Batter_1,Sweeper,1,16.7
Batter_2,4-Seam Fastball,3,50.0
Batter_2,Sinker,1,16.7
Batter_2,Sweeper,2,33.3
Batter_3,4-Seam Fastball,2,33.3
Batter_3,Curveball,1,16.7
Batter_3,Sinker,3,50.0
Inning_2_leadoff,4-Seam Fastball,2,33.3
Inning_2_leadoff,Changeup,1,16.7
Inning_2_leadoff,Sinker,1,16.7
Inning_2_leadoff,Slider,1,16.7
Inning_2_leadoff,Sweeper,1,16.7
Inning_3_leadoff,4-Seam Fastball,1,20.0
Inning_3_leadoff,Curveball,1,20.0
Inning_3_leadoff,Sinker,1,20.0
Inning_3_leadoff,Sweeper,2,40.0
