bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,10,83.3
Batter_1,Sinker,2,16.7
Batter_2,4-Seam Fastball,5,41.7
Batter_2,Curveball,1,8.3
Batter_2,Cutter,1,8.3
Batter_2,Sinker,1,8.3
Batter_2,Slider,4,33.3
Batter_3,4-Seam Fastball,3,25.0
Batter_3,Changeup,1,8.3
Batter_3,Cutter,1,8.3
Batter_3,Sinker,2,16.7
Batter_3,Slider,5,41.7
Inning_2_leadoff,4-Seam Fastball,8,66.7
Inning_2_leadoff,Curveball,1,8.3
Inning_2_leadoff,Sinker,1,8.3
Inning_2_leadoff,Slider,2,16.7
Inning_3_leadoff,4-Seam Fastball,8,66.7
Inning_3_leadoff,Changeup,1,8.3
Inning_3_leadoff,Sinker,1,8.3
Inning_3_leadoff,Slider,2,16.7
