bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,4,36.4
Batter_1,Sinker,7,63.6
Batter_2,4-Seam Fastball,3,27.3
Batter_2,Cutter,3,27.3
Batter_2,Sinker,5,45.5
Batter_3,4-Seam Fastball,1,9.1
Batter_3,Changeup,1,9.1
Batter_3,Cutter,4,36.4
Batter_3,Sinker,3,27.3
Batter_3,Sweeper,2,18.2
Inning_2_leadoff,4-Seam Fastball,1,9.1
Inning_2_leadoff,Cutter,2,18.2
Inning_2_leadoff,Sinker,8,72.7
Inning_3_leadoff,4-Seam Fastball,1,9.1
Inning_3_leadoff,Changeup,1,9.1
Inning_3_leadoff,Cutter,2,18.2
Inning_3_leadoff,Sinker,3,27.3
Inning_3_leadoff,Sweeper,4,36.4
