bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,7,87.5
Batter_1,Slider,1,12.5
Batter_2,4-Seam Fastball,4,50.0
Batter_2,Changeup,1,12.5
Batter_2,Curveball,1,12.5
Batter_2,Slider,2,25.0
Batter_3,4-Seam Fastball,2,25.0
Batter_3,Changeup,2,25.0
Batter_3,Curveball,1,12.5
Batter_3,Slider,3,37.5
Inning_2_leadoff,4-Seam Fastball,3,37.5
Inning_2_leadoff,Changeup,1,12.5
Inning_2_leadoff,Curveball,1,12.5
Inning_2_leadoff,Slider,3,37.5
Inning_3_leadoff,4-Seam Fastball,5,62.5
Inning_3_leadoff,Changeup,1,12.5
Inning_3_leadoff,Slider,2,25.0
