bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,85.7
Batter_1,Sinker,2,14.3
Batter_2,4-Seam Fastball,7,50.0
Batter_2,Curveball,5,35.7
Batter_2,Sinker,1,7.1
Batter_2,Sweeper,1,7.1
Batter_3,4-Seam Fastball,5,35.7
Batter_3,Curveball,6,42.9
Batter_3,Sweeper,3,21.4
Inning_2_leadoff,4-Seam Fastball,10,71.4
Inning_2_leadoff,Curveball,3,21.4
Inning_2_leadoff,Sinker,1,7.1
Inning_3_leadoff,4-Seam Fastball,6,42.9
Inning_3_leadoff,Changeup,1,7.1
Inning_3_leadoff,Curveball,4,28.6
Inning_3_leadoff,Sinker,2,14.3
Inning_3_leadoff,Sweeper,1,7.1
