game_pk,game_date,bucket,pitch_name
778524,2025-03-30,Inning_3_leadoff,4-Seam Fastball
778524,2025-03-30,Inning_2_leadoff,4-Seam Fastball
778524,2025-03-30,Batter_3,4-Seam Fastball
778524,2025-03-30,Batter_2,Cutter
778524,2025-03-30,Batter_1,4-Seam Fastball
778438,2025-04-05,Inning_3_leadoff,4-Seam Fastball
778438,2025-04-05,Inning_2_leadoff,Curveball
778438,2025-04-05,Batter_3,4-Seam Fastball
778438,2025-04-05,Batter_2,Cutter
778438,2025-04-05,Batter_1,4-Seam Fastball
778367,2025-04-11,Inning_3_leadoff,4-Seam Fastball
778367,2025-04-11,Inning_2_leadoff,4-Seam Fastball
778367,2025-04-11,Batter_3,Cutter
778367,2025-04-11,Batter_2,4-Seam Fastball
778367,2025-04-11,Batter_1,4-Seam Fastball
778282,2025-04-17,Inning_3_leadoff,4-Seam Fastball
778282,2025-04-17,Inning_2_leadoff,4-Seam Fastball
778282,2025-04-17,Batter_3,Cutter
778282,2025-04-17,Batter_2,Curveball
778282,2025-04-17,Batter_1,4-Seam Fastball
778199,2025-04-23,Inning_3_leadoff,Curveball
778199,2025-04-23,Inning_2_leadoff,4-Seam Fastball
778199,2025-04-23,Batter_3,4-Seam Fastball
778199,2025-04-23,Batter_2,4-Seam Fastball
778199,2025-04-23,Batter_1,4-Seam Fastball
778128,2025-04-29,Inning_3_leadoff,4-Seam Fastball
778128,2025-04-29,Inning_2_leadoff,4-Seam Fastball
778128,2025-04-29,Batter_3,4-Seam Fastball
778128,2025-04-29,Batter_2,4-Seam Fastball
778128,2025-04-29,Batter_1,4-Seam Fastball
778057,2025-05-04,Inning_3_leadoff,4-Seam Fastball
778057,2025-05-04,Inning_2_leadoff,4-Seam Fastball
778057,2025-05-04,Batter_3,4-Seam Fastball
778057,2025-05-04,Batter_2,Cutter
778057,2025-05-04,Batter_1,4-Seam Fastball
777981,2025-05-10,Inning_3_leadoff,4-Seam Fastball
777981,2025-05-10,Inning_2_leadoff,4-Seam Fastball
777981,2025-05-10,Batter_3,4-Seam Fastball
777981,2025-05-10,Batter_2,4-Seam Fastball
777981,2025-05-10,Batter_1,4-Seam Fastball
777903,2025-05-16,Inning_3_leadoff,Cutter
777903,2025-05-16,Inning_2_leadoff,4-Seam Fastball
777903,2025-05-16,Batter_3,Split-Finger
777903,2025-05-16,Batter_2,Split-Finger
777903,2025-05-16,Batter_1,4-Seam Fastball
777832,2025-05-21,Inning_3_leadoff,4-Seam Fastball
777832,2025-05-21,Inning_2_leadoff,4-Seam Fastball
777832,2025-05-21,Batter_3,4-Seam Fastball
777832,2025-05-21,Batter_2,4-Seam Fastball
777832,2025-05-21,Batter_1,4-Seam Fastball
777746,2025-05-27,Inning_3_leadoff,Split-Finger
777746,2025-05-27,Inning_2_leadoff,4-Seam Fastball
777746,2025-05-27,Batter_3,4-Seam Fastball
777746,2025-05-27,Batter_2,Cutter
777746,2025-05-27,Batter_1,4-Seam Fastball
