game_pk,game_date,bucket,pitch_name
823616,2026-06-13,Inning_3_leadoff,Sweeper
823616,2026-06-13,Inning_2_leadoff,4-Seam Fastball
823616,2026-06-13,Batter_3,Sweeper
823616,2026-06-13,Batter_2,Sinker
823616,2026-06-13,Batter_1,4-Seam Fastball
823448,2026-06-18,Inning_3_leadoff,Sinker
823448,2026-06-18,Inning_2_leadoff,4-Seam Fastball
823448,2026-06-18,Batter_3,Cutter
823448,2026-06-18,Batter_2,Cutter
823448,2026-06-18,Batter_1,4-Seam Fastball
823611,2026-06-24,Inning_3_leadoff,4-Seam Fastball
823611,2026-06-24,Inning_2_leadoff,4-Seam Fastball
823611,2026-06-24,Batter_3,4-Seam Fastball
823611,2026-06-24,Batter_2,Sweeper
823611,2026-06-24,Batter_1,Sinker
822792,2026-06-29,Inning_3_leadoff,4-Seam Fastball
822792,2026-06-29,Inning_2_leadoff,4-Seam Fastball
822792,2026-06-29,Batter_3,Sweeper
822792,2026-06-29,Batter_2,4-Seam Fastball
822792,2026-06-29,Batter_1,4-Seam Fastball
824903,2026-07-04,Inning_3_leadoff,Sweeper
824903,2026-07-04,Inning_2_leadoff,Sweeper
824903,2026-07-04,Batter_3,Sinker
824903,2026-07-04,Batter_2,Sinker
824903,2026-07-04,Batter_1,4-Seam Fastball
823606,2026-07-09,Inning_3_leadoff,Sinker
823606,2026-07-09,Inning_2_leadoff,Sweeper
823606,2026-07-09,Batter_3,4-Seam Fastball
823606,2026-07-09,Batter_2,Sinker
823606,2026-07-09,Batter_1,4-Seam Fastball
