game_pk,game_date,bucket,pitch_name
822836,2026-03-31,Inning_3_leadoff,4-Seam Fastball
822836,2026-03-31,Inning_2_leadoff,Slider
822836,2026-03-31,Batter_3,Curveball
822836,2026-03-31,Batter_2,4-Seam Fastball
822836,2026-03-31,Batter_1,4-Seam Fastball
822832,2026-04-06,Inning_2_leadoff,4-Seam Fastball
822832,2026-04-06,Batter_3,4-Seam Fastball
822832,2026-04-06,Batter_2,4-Seam Fastball
822832,2026-04-06,Batter_1,4-Seam Fastball
822828,2026-04-12,Inning_3_leadoff,Changeup
822828,2026-04-12,Inning_2_leadoff,4-Seam Fastball
822828,2026-04-12,Batter_3,4-Seam Fastball
822828,2026-04-12,Batter_2,Curveball
822828,2026-04-12,Batter_1,4-Seam Fastball
825098,2026-04-18,Inning_3_leadoff,4-Seam Fastball
825098,2026-04-18,Inning_2_leadoff,4-Seam Fastball
825098,2026-04-18,Batter_3,Curveball
825098,2026-04-18,Batter_2,4-Seam Fastball
825098,2026-04-18,Batter_1,4-Seam Fastball
822827,2026-04-24,Inning_3_leadoff,4-Seam Fastball
822827,2026-04-24,Inning_2_leadoff,4-Seam Fastball
822827,2026-04-24,Batter_3,4-Seam Fastball
822827,2026-04-24,Batter_2,4-Seam Fastball
822827,2026-04-24,Batter_1,4-Seam Fastball
822804,2026-06-10,Inning_3_leadoff,Changeup
822804,2026-06-10,Inning_2_leadoff,Curveball
822804,2026-06-10,Batter_3,4-Seam Fastball
822804,2026-06-10,Batter_2,Slider
822804,2026-06-10,Batter_1,4-Seam Fastball
822705,2026-07-27,Inning_3_leadoff,Curveball
822705,2026-07-27,Inning_2_leadoff,4-Seam Fastball
822705,2026-07-27,Batter_3,Curveball
822705,2026-07-27,Batter_2,4-Seam Fastball
822705,2026-07-27,Batter_1,4-Seam Fastball
822783,2026-08-02,Inning_3_leadoff,4-Seam Fastball
822783,2026-08-02,Inning_2_leadoff,4-Seam Fastball
822783,2026-08-02,Batter_3,4-Seam Fastball
822783,2026-08-02,Batter_2,4-Seam Fastball
822783,2026-08-02,Batter_1,4-Seam Fastball
823426,2026-08-08,Inning_3_leadoff,4-Seam Fastball
823426,2026-08-08,Inning_2_leadoff,4-Seam Fastball
823426,2026-08-08,Batter_3,Slider
823426,2026-08-08,Batter_2,4-Seam Fastball
823426,2026-08-08,Batter_1,4-Seam Fastball
822776,2026-08-13,Inning_3_leadoff,4-Seam Fastball
822776,2026-08-13,Inning_2_leadoff,4-Seam Fastball
822776,2026-08-13,Batter_3,4-Seam Fastball
822776,2026-08-13,Batter_2,4-Seam Fastball
822776,2026-08-13,Batter_1,4-Seam Fastball
