game_pk,game_date,bucket,pitch_name
778503,2025-03-31,Inning_3_leadoff,Changeup
778503,2025-03-31,Inning_2_leadoff,Sinker
778503,2025-03-31,Batter_3,4-Seam Fastball
778503,2025-03-31,Batter_2,4-Seam Fastball
778425,2025-04-06,Inning_3_leadoff,Changeup
778425,2025-04-06,Inning_2_leadoff,4-Seam Fastball
778425,2025-04-06,Batter_3,Changeup
778425,2025-04-06,Batter_2,4-Seam Fastball
778351,2025-04-12,Inning_3_leadoff,4-Seam Fastball
778351,2025-04-12,Inning_2_leadoff,4-Seam Fastball
778351,2025-04-12,Batter_3,Cutter
778351,2025-04-12,Batter_2,4-Seam Fastball
778260,2025-04-18,Inning_3_leadoff,4-Seam Fastball
778260,2025-04-18,Inning_2_leadoff,4-Seam Fastball
778260,2025-04-18,Batter_3,4-Seam Fastball
778260,2025-04-18,Batter_2,4-Seam Fastball
778191,2025-04-24,Inning_3_leadoff,Cutter
778191,2025-04-24,Inning_2_leadoff,Changeup
778191,2025-04-24,Batter_3,4-Seam Fastball
778191,2025-04-24,Batter_2,Changeup
778104,2025-04-30,Inning_3_leadoff,Cutter
778104,2025-04-30,Inning_2_leadoff,4-Seam Fastball
778104,2025-04-30,Batter_3,4-Seam Fastball
778104,2025-04-30,Batter_2,4-Seam Fastball
778025,2025-05-06,Inning_3_leadoff,4-Seam Fastball
778025,2025-05-06,Inning_2_leadoff,4-Seam Fastball
778025,2025-05-06,Batter_3,Changeup
778025,2025-05-06,Batter_2,4-Seam Fastball
777961,2025-05-11,Inning_3_leadoff,Changeup
777961,2025-05-11,Inning_2_leadoff,4-Seam Fastball
777961,2025-05-11,Batter_3,Changeup
777961,2025-05-11,Batter_2,Changeup
777884,2025-05-17,Inning_3_leadoff,4-Seam Fastball
777884,2025-05-17,Inning_2_leadoff,Cutter
777884,2025-05-17,Batter_3,Cutter
777884,2025-05-17,Batter_2,4-Seam Fastball
777812,2025-05-22,Inning_3_leadoff,4-Seam Fastball
777812,2025-05-22,Inning_2_leadoff,4-Seam Fastball
777812,2025-05-22,Batter_3,Cutter
777812,2025-05-22,Batter_2,4-Seam Fastball
777745,2025-05-27,Inning_3_leadoff,4-Seam Fastball
777745,2025-05-27,Inning_2_leadoff,4-Seam Fastball
777745,2025-05-27,Batter_3,4-Seam Fastball
777745,2025-05-27,Batter_2,4-Seam Fastball
777670,2025-06-02,Inning_3_leadoff,4-Seam Fastball
777670,2025-06-02,Inning_2_leadoff,4-Seam Fastball
777670,2025-06-02,Batter_3,4-Seam Fastball
777670,2025-06-02,Batter_2,4-Seam Fastball
777589,2025-06-08,Inning_3_leadoff,4-Seam Fastball
777589,2025-06-08,Inning_2_leadoff,4-Seam Fastball
777589,2025-06-08,Batter_3,Cutter
777589,2025-06-08,Batter_2,Changeup
777519,2025-06-14,Inning_3_leadoff,Changeup
777519,2025-06-14,Inning_2_leadoff,Cutter
777519,2025-06-14,Batter_3,Cutter
777519,2025-06-14,Batter_2,4-Seam Fastball
777449,2025-06-19,Inning_3_leadoff,Changeup
777449,2025-06-19,Inning_2_leadoff,Cutter
777449,2025-06-19,Batter_3,4-Seam Fastball
777449,2025-06-19,Batter_2,4-Seam Fastball
777376,2025-06-24,Inning_3_leadoff,4-Seam Fastball
777376,2025-06-24,Inning_2_leadoff,Cutter
777376,2025-06-24,Batter_3,Changeup
777376,2025-06-24,Batter_2,4-Seam Fastball
777298,2025-07-01,Inning_3_leadoff,Changeup
777298,2025-07-01,Inning_2_leadoff,4-Seam Fastball
777298,2025-07-01,Batter_3,Changeup
777298,2025-07-01,Batter_2,4-Seam Fastball
