bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,9,45.0
Batter_1,Sinker,11,55.0
Batter_2,4-Seam Fastball,9,45.0
Batter_2,Changeup,2,10.0
Batter_2,Curveball,3,15.0
Batter_2,Sinker,6,30.0
Batter_3,4-Seam Fastball,5,25.0
Batter_3,Changeup,1,5.0
Batter_3,Curveball,11,55.0
Batter_3,Sinker,3,15.0
Inning_2_leadoff,4-Seam Fastball,7,35.0
Inning_2_leadoff,Changeup,3,15.0
Inning_2_leadoff,Curveball,5,25.0
Inning_2_leadoff,Sinker,5,25.0
Inning_3_leadoff,4-Seam Fastball,10,50.0
Inning_3_leadoff,Changeup,1,5.0
Inning_3_leadoff,Curveball,5,25.0
Inning_3_leadoff,Sinker,4,20.0
