bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,8,66.7
Batter_1,Sinker,4,33.3
Batter_2,4-Seam Fastball,4,36.4
Batter_2,Knuckle Curve,2,18.2
Batter_2,Sinker,4,36.4
Batter_2,Slider,1,9.1
Batter_3,4-Seam Fastball,3,30.0
Batter_3,Knuckle Curve,1,10.0
Batter_3,Sinker,3,30.0
Batter_3,Slider,3,30.0
Inning_2_leadoff,4-Seam Fastball,4,33.3
Inning_2_leadoff,Knuckle Curve,2,16.7
Inning_2_leadoff,Sinker,2,16.7
Inning_2_leadoff,Slider,4,33.3
Inning_3_leadoff,4-Seam Fastball,4,33.3
Inning_3_leadoff,Knuckle Curve,3,25.0
Inning_3_leadoff,Sinker,3,25.0
Inning_3_leadoff,Slider,2,16.7
