bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,75.0
Batter_1,Sinker,4,25.0
Batter_2,4-Seam Fastball,10,62.5
Batter_2,Curveball,3,18.8
Batter_2,Cutter,1,6.2
Batter_2,Sinker,2,12.5
Batter_3,4-Seam Fastball,10,62.5
Batter_3,Changeup,1,6.2
Batter_3,Curveball,2,12.5
Batter_3,Cutter,2,12.5
Batter_3,Sinker,1,6.2
Inning_2_leadoff,4-Seam Fastball,11,68.8
Inning_2_leadoff,Curveball,2,12.5
Inning_2_leadoff,Cutter,1,6.2
Inning_2_leadoff,Sinker,2,12.5
Inning_3_leadoff,4-Seam Fastball,8,50.0
Inning_3_leadoff,Curveball,4,25.0
Inning_3_leadoff,Sinker,4,25.0
