game_pk,game_date,bucket,pitch_name
778520,2025-03-29,Inning_3_leadoff,Curveball
778520,2025-03-29,Inning_2_leadoff,4-Seam Fastball
778520,2025-03-29,Batter_3,Cutter
778520,2025-03-29,Batter_2,4-Seam Fastball
778460,2025-04-04,Inning_3_leadoff,4-Seam Fastball
778460,2025-04-04,Inning_2_leadoff,4-Seam Fastball
778460,2025-04-04,Batter_3,Cutter
778460,2025-04-04,Batter_2,Curveball
778381,2025-04-09,Inning_3_leadoff,Curveball
778381,2025-04-09,Inning_2_leadoff,Curveball
778381,2025-04-09,Batter_3,4-Seam Fastball
778381,2025-04-09,Batter_2,Cutter
778305,2025-04-15,Inning_3_leadoff,4-Seam Fastball
778305,2025-04-15,Inning_2_leadoff,Curveball
778305,2025-04-15,Batter_3,4-Seam Fastball
778305,2025-04-15,Batter_2,Curveball
778228,2025-04-21,Inning_3_leadoff,Curveball
778228,2025-04-21,Inning_2_leadoff,Sweeper
778228,2025-04-21,Batter_3,Sweeper
778228,2025-04-21,Batter_2,4-Seam Fastball
778146,2025-04-27,Inning_3_leadoff,Cutter
778146,2025-04-27,Inning_2_leadoff,Curveball
778146,2025-04-27,Batter_3,4-Seam Fastball
778146,2025-04-27,Batter_2,4-Seam Fastball
778065,2025-05-03,Inning_3_leadoff,4-Seam Fastball
778065,2025-05-03,Inning_2_leadoff,4-Seam Fastball
778065,2025-05-03,Batter_3,Cutter
778065,2025-05-03,Batter_2,4-Seam Fastball
777993,2025-05-09,Inning_3_leadoff,4-Seam Fastball
777993,2025-05-09,Inning_2_leadoff,Curveball
777993,2025-05-09,Batter_3,4-Seam Fastball
777993,2025-05-09,Batter_2,4-Seam Fastball
777914,2025-05-14,Inning_3_leadoff,Cutter
777914,2025-05-14,Inning_2_leadoff,Sweeper
777914,2025-05-14,Batter_3,4-Seam Fastball
777914,2025-05-14,Batter_2,4-Seam Fastball
777837,2025-05-21,Inning_3_leadoff,Curveball
777837,2025-05-21,Inning_2_leadoff,Sinker
777837,2025-05-21,Batter_3,4-Seam Fastball
777837,2025-05-21,Batter_2,Cutter
777756,2025-05-26,Inning_3_leadoff,Sweeper
777756,2025-05-26,Inning_2_leadoff,4-Seam Fastball
777756,2025-05-26,Batter_3,Cutter
777756,2025-05-26,Batter_2,Cutter
777681,2025-06-01,Inning_3_leadoff,Sinker
777681,2025-06-01,Inning_2_leadoff,4-Seam Fastball
777681,2025-06-01,Batter_3,Curveball
777681,2025-06-01,Batter_2,Cutter
777617,2025-06-06,Inning_3_leadoff,4-Seam Fastball
777617,2025-06-06,Inning_2_leadoff,4-Seam Fastball
777617,2025-06-06,Batter_3,4-Seam Fastball
777617,2025-06-06,Batter_2,Sinker
777543,2025-06-11,Inning_3_leadoff,4-Seam Fastball
777543,2025-06-11,Inning_2_leadoff,Sinker
777543,2025-06-11,Batter_3,Cutter
777543,2025-06-11,Batter_2,Cutter
777471,2025-06-17,Inning_3_leadoff,Cutter
777471,2025-06-17,Inning_2_leadoff,4-Seam Fastball
777471,2025-06-17,Batter_3,Cutter
777471,2025-06-17,Batter_2,Cutter
777396,2025-06-22,Inning_3_leadoff,4-Seam Fastball
777396,2025-06-22,Inning_2_leadoff,Sweeper
777396,2025-06-22,Batter_3,Sinker
777396,2025-06-22,Batter_2,4-Seam Fastball
777328,2025-06-28,Inning_3_leadoff,Curveball
777328,2025-06-28,Inning_2_leadoff,Sweeper
777328,2025-06-28,Batter_3,4-Seam Fastball
777328,2025-06-28,Batter_2,4-Seam Fastball
777239,2025-07-04,Inning_3_leadoff,Sinker
777239,2025-07-04,Inning_2_leadoff,4-Seam Fastball
777239,2025-07-04,Batter_3,4-Seam Fastball
777239,2025-07-04,Batter_2,Cutter
777158,2025-07-10,Inning_3_leadoff,Sinker
777158,2025-07-10,Inning_2_leadoff,Cutter
777158,2025-07-10,Batter_3,4-Seam Fastball
777158,2025-07-10,Batter_2,4-Seam Fastball
