bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,6,60.0
Batter_1,Slider,3,30.0
Batter_1,Sweeper,1,10.0
Batter_2,4-Seam Fastball,6,60.0
Batter_2,Curveball,1,10.0
Batter_2,Slider,1,10.0
Batter_2,Sweeper,2,20.0
Batter_3,4-Seam Fastball,3,30.0
Batter_3,Curveball,2,20.0
Batter_3,Slider,4,40.0
Batter_3,Sweeper,1,10.0
Inning_2_leadoff,4-Seam Fastball,2,20.0
Inning_2_leadoff,Curveball,1,10.0
Inning_2_leadoff,Slider,3,30.0
Inning_2_leadoff,Sweeper,4,40.0
Inning_3_leadoff,4-Seam Fastball,6,60.0
Inning_3_leadoff,Slider,1,10.0
Inning_3_leadoff,Sweeper,3,30.0
