bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,5,55.6
Batter_1,Cutter,1,11.1
Batter_1,Sinker,2,22.2
Batter_1,Slider,1,11.1
Batter_2,4-Seam Fastball,7,77.8
Batter_2,Curveball,1,11.1
Batter_2,Cutter,1,11.1
Batter_3,4-Seam Fastball,6,66.7
Batter_3,Cutter,1,11.1
Batter_3,Sinker,1,11.1
Batter_3,Slider,1,11.1
Inning_2_leadoff,4-Seam Fastball,6,66.7
Inning_2_leadoff,Cutter,1,11.1
Inning_2_leadoff,Sinker,1,11.1
Inning_2_leadoff,Sweeper,1,11.1
Inning_3_leadoff,4-Seam Fastball,2,22.2
Inning_3_leadoff,Curveball,1,11.1
Inning_3_leadoff,Cutter,2,22.2
Inning_3_leadoff,Sinker,3,33.3
Inning_3_leadoff,Slider,1,11.1
