game_pk,game_date,bucket,pitch_name
822983,2026-05-15,Inning_2_leadoff,Changeup
822983,2026-05-15,Batter_3,4-Seam Fastball
822983,2026-05-15,Batter_2,Sinker
822983,2026-05-15,Batter_1,4-Seam Fastball
822972,2026-06-08,Inning_3_leadoff,Sinker
822972,2026-06-08,Inning_2_leadoff,Sweeper
822972,2026-06-08,Batter_3,Sinker
822972,2026-06-08,Batter_2,4-Seam Fastball
822972,2026-06-08,Batter_1,Sinker
822967,2026-06-20,Inning_3_leadoff,4-Seam Fastball
822967,2026-06-20,Inning_2_leadoff,Slider
822967,2026-06-20,Batter_3,Curveball
822967,2026-06-20,Batter_2,4-Seam Fastball
822967,2026-06-20,Batter_1,Sinker
824093,2026-07-02,Inning_3_leadoff,Sweeper
824093,2026-07-02,Inning_2_leadoff,4-Seam Fastball
824093,2026-07-02,Batter_3,Sinker
824093,2026-07-02,Batter_2,4-Seam Fastball
824093,2026-07-02,Batter_1,Sweeper
822956,2026-07-07,Inning_3_leadoff,Curveball
822956,2026-07-07,Inning_2_leadoff,4-Seam Fastball
822956,2026-07-07,Batter_3,Sinker
822956,2026-07-07,Batter_2,Sweeper
822956,2026-07-07,Batter_1,Sinker
822951,2026-07-12,Inning_3_leadoff,Sweeper
822951,2026-07-12,Inning_2_leadoff,Sinker
822951,2026-07-12,Batter_3,4-Seam Fastball
822951,2026-07-12,Batter_2,Sweeper
822951,2026-07-12,Batter_1,Sinker
824738,2026-07-18,Inning_3_leadoff,Sweeper
824738,2026-07-18,Inning_2_leadoff,4-Seam Fastball
824738,2026-07-18,Batter_3,4-Seam Fastball
824738,2026-07-18,Batter_2,Sweeper
824738,2026-07-18,Batter_1,4-Seam Fastball
