bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,17,68.0
Batter_1,Cutter,2,8.0
Batter_1,Sinker,6,24.0
Batter_2,4-Seam Fastball,7,28.0
Batter_2,Curveball,5,20.0
Batter_2,Cutter,2,8.0
Batter_2,Sinker,9,36.0
Batter_2,Slider,2,8.0
Batter_3,4-Seam Fastball,8,32.0
Batter_3,Changeup,1,4.0
Batter_3,Curveball,5,20.0
Batter_3,Cutter,2,8.0
Batter_3,Sinker,8,32.0
Batter_3,Slider,1,4.0
Inning_2_leadoff,4-Seam Fastball,13,54.2
Inning_2_leadoff,Changeup,1,4.2
Inning_2_leadoff,Cutter,1,4.2
Inning_2_leadoff,Sinker,7,29.2
Inning_2_leadoff,Slider,2,8.3
Inning_3_leadoff,4-Seam Fastball,10,40.0
Inning_3_leadoff,Changeup,2,8.0
Inning_3_leadoff,Curveball,7,28.0
Inning_3_leadoff,Cutter,2,8.0
Inning_3_leadoff,Sinker,3,12.0
Inning_3_leadoff,Slider,1,4.0
Leadoff_2nd_PA,4-Seam Fastball,1,100.0
