bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,92.3
Batter_1,Sinker,1,7.7
Batter_2,4-Seam Fastball,11,84.6
Batter_2,Curveball,1,7.7
Batter_2,Sweeper,1,7.7
Batter_3,4-Seam Fastball,7,53.8
Batter_3,Changeup,1,7.7
Batter_3,Curveball,1,7.7
Batter_3,Sinker,1,7.7
Batter_3,Sweeper,3,23.1
Inning_2_leadoff,4-Seam Fastball,9,69.2
Inning_2_leadoff,Changeup,1,7.7
Inning_2_leadoff,Curveball,2,15.4
Inning_2_leadoff,Sweeper,1,7.7
Inning_3_leadoff,4-Seam Fastball,10,76.9
Inning_3_leadoff,Curveball,2,15.4
Inning_3_leadoff,Sweeper,1,7.7
