bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,24,100.0
Batter_2,4-Seam Fastball,15,62.5
Batter_2,Curveball,4,16.7
Batter_2,Sinker,3,12.5
Batter_2,Slider,1,4.2
Batter_2,Split-Finger,1,4.2
Batter_3,4-Seam Fastball,13,54.2
Batter_3,Curveball,5,20.8
Batter_3,Sinker,1,4.2
Batter_3,Slider,4,16.7
Batter_3,Split-Finger,1,4.2
Inning_2_leadoff,4-Seam Fastball,15,65.2
Inning_2_leadoff,Curveball,6,26.1
Inning_2_leadoff,Sinker,1,4.3
Inning_2_leadoff,Slider,1,4.3
Inning_3_leadoff,4-Seam Fastball,11,47.8
Inning_3_leadoff,Curveball,7,30.4
Inning_3_leadoff,Sinker,2,8.7
Inning_3_leadoff,Slider,1,4.3
Inning_3_leadoff,Split-Finger,2,8.7
