bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,23,95.8
Batter_1,Sinker,1,4.2
Batter_2,4-Seam Fastball,13,54.2
Batter_2,Curveball,3,12.5
Batter_2,Cutter,1,4.2
Batter_2,Sinker,3,12.5
Batter_2,Slider,4,16.7
Batter_3,4-Seam Fastball,9,37.5
Batter_3,Changeup,3,12.5
Batter_3,Curveball,4,16.7
Batter_3,Cutter,3,12.5
Batter_3,Sinker,4,16.7
Batter_3,Slider,1,4.2
Inning_2_leadoff,4-Seam Fastball,15,62.5
Inning_2_leadoff,Changeup,1,4.2
Inning_2_leadoff,Curveball,1,4.2
Inning_2_leadoff,Cutter,1,4.2
Inning_2_leadoff,Sinker,2,8.3
Inning_2_leadoff,Slider,4,16.7
Inning_3_leadoff,4-Seam Fastball,15,62.5
Inning_3_leadoff,Changeup,5,20.8
Inning_3_leadoff,Cutter,1,4.2
Inning_3_leadoff,Slider,3,12.5
