bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,21,72.4
Batter_1,Sinker,7,24.1
Batter_1,Slider,1,3.4
Batter_2,4-Seam Fastball,11,37.9
Batter_2,Curveball,6,20.7
Batter_2,Sinker,4,13.8
Batter_2,Slider,8,27.6
Batter_3,4-Seam Fastball,9,31.0
Batter_3,Changeup,1,3.4
Batter_3,Curveball,4,13.8
Batter_3,Sinker,5,17.2
Batter_3,Slider,10,34.5
Inning_2_leadoff,4-Seam Fastball,14,48.3
Inning_2_leadoff,Curveball,5,17.2
Inning_2_leadoff,Sinker,3,10.3
Inning_2_leadoff,Slider,7,24.1
Inning_3_leadoff,4-Seam Fastball,10,34.5
Inning_3_leadoff,Curveball,6,20.7
Inning_3_leadoff,Sinker,4,13.8
Inning_3_leadoff,Slider,9,31.0
