bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,86.7
Batter_1,Sinker,2,13.3
Batter_2,4-Seam Fastball,8,53.3
Batter_2,Curveball,2,13.3
Batter_2,Cutter,3,20.0
Batter_2,Sinker,2,13.3
Batter_3,4-Seam Fastball,12,80.0
Batter_3,Changeup,1,6.7
Batter_3,Curveball,1,6.7
Batter_3,Slider,1,6.7
Inning_2_leadoff,4-Seam Fastball,7,46.7
Inning_2_leadoff,Curveball,1,6.7
Inning_2_leadoff,Cutter,3,20.0
Inning_2_leadoff,Sinker,2,13.3
Inning_2_leadoff,Slider,2,13.3
Inning_3_leadoff,4-Seam Fastball,6,40.0
Inning_3_leadoff,Changeup,1,6.7
Inning_3_leadoff,Curveball,4,26.7
Inning_3_leadoff,Cutter,1,6.7
Inning_3_leadoff,Sinker,2,13.3
Inning_3_leadoff,Slider,1,6.7
