bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,15,65.2
Batter_1,Changeup,1,4.3
Batter_1,Curveball,2,8.7
Batter_1,Sinker,4,17.4
Batter_1,Sweeper,1,4.3
Batter_2,4-Seam Fastball,11,47.8
Batter_2,Changeup,1,4.3
Batter_2,Curveball,2,8.7
Batter_2,Sinker,5,21.7
Batter_2,Slider,2,8.7
Batter_2,Sweeper,2,8.7
Batter_3,4-Seam Fastball,13,56.5
Batter_3,Changeup,1,4.3
Batter_3,Curveball,2,8.7
Batter_3,Sinker,2,8.7
Batter_3,Slider,3,13.0
Batter_3,Sweeper,2,8.7
Inning_2_leadoff,4-Seam Fastball,11,47.8
Inning_2_leadoff,Curveball,1,4.3
Inning_2_leadoff,Sinker,5,21.7
Inning_2_leadoff,Slider,3,13.0
Inning_2_leadoff,Sweeper,3,13.0
Inning_3_leadoff,4-Seam Fastball,12,52.2
Inning_3_leadoff,Changeup,1,4.3
Inning_3_leadoff,Curveball,1,4.3
Inning_3_leadoff,Sinker,3,13.0
Inning_3_leadoff,Slider,5,21.7
Inning_3_leadoff,Sweeper,1,4.3
