bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,3,15.8
Batter_1,Curveball,1,5.3
Batter_1,Cutter,5,26.3
Batter_1,Sinker,3,15.8
Batter_1,Slider,1,5.3
Batter_1,Split-Finger,3,15.8
Batter_1,Sweeper,3,15.8
Batter_2,4-Seam Fastball,4,21.1
Batter_2,Cutter,3,15.8
Batter_2,Sinker,3,15.8
Batter_2,Slider,3,15.8
Batter_2,Split-Finger,3,15.8
Batter_2,Sweeper,3,15.8
Batter_3,4-Seam Fastball,4,21.1
Batter_3,Curveball,1,5.3
Batter_3,Cutter,2,10.5
Batter_3,Sinker,4,21.1
Batter_3,Split-Finger,4,21.1
Batter_3,Sweeper,4,21.1
Inning_2_leadoff,4-Seam Fastball,4,21.1
Inning_2_leadoff,Curveball,4,21.1
Inning_2_leadoff,Cutter,1,5.3
Inning_2_leadoff,Sinker,7,36.8
Inning_2_leadoff,Slider,1,5.3
Inning_2_leadoff,Sweeper,2,10.5
Inning_3_leadoff,4-Seam Fastball,2,10.5
Inning_3_leadoff,Curveball,3,15.8
Inning_3_leadoff,Cutter,2,10.5
Inning_3_leadoff,Sinker,2,10.5
Inning_3_leadoff,Slider,1,5.3
Inning_3_leadoff,Split-Finger,3,15.8
Inning_3_leadoff,Sweeper,6,31.6
