game_pk,game_date,bucket,pitch_name
778561,2025-03-27,Inning_3_leadoff,Sinker
778561,2025-03-27,Inning_2_leadoff,Sinker
778561,2025-03-27,Batter_3,Sweeper
778561,2025-03-27,Batter_2,Sinker
778489,2025-04-01,Inning_3_leadoff,Sweeper
778489,2025-04-01,Inning_2_leadoff,Sinker
778489,2025-04-01,Batter_3,Sweeper
778489,2025-04-01,Batter_2,Sinker
778410,2025-04-07,Inning_3_leadoff,Sinker
778410,2025-04-07,Inning_2_leadoff,Sinker
778410,2025-04-07,Batter_3,Sinker
778410,2025-04-07,Batter_2,Sinker
778339,2025-04-13,Inning_3_leadoff,Sinker
778339,2025-04-13,Inning_2_leadoff,Sinker
778339,2025-04-13,Batter_3,Sweeper
778339,2025-04-13,Batter_2,Sinker
778260,2025-04-18,Inning_3_leadoff,Sinker
778260,2025-04-18,Inning_2_leadoff,Sinker
778260,2025-04-18,Batter_3,Sinker
778260,2025-04-18,Batter_2,Sweeper
778198,2025-04-23,Inning_3_leadoff,Sweeper
778198,2025-04-23,Inning_2_leadoff,Sinker
778198,2025-04-23,Batter_3,Sweeper
778198,2025-04-23,Batter_2,Sinker
778126,2025-04-29,Inning_3_leadoff,Changeup
778126,2025-04-29,Inning_2_leadoff,Sinker
778126,2025-04-29,Batter_3,Sweeper
778126,2025-04-29,Batter_2,Sinker
778048,2025-05-04,Inning_3_leadoff,Changeup
778048,2025-05-04,Inning_2_leadoff,Sweeper
778048,2025-05-04,Batter_3,Sinker
778048,2025-05-04,Batter_2,Sinker
777974,2025-05-10,Inning_3_leadoff,Sinker
777974,2025-05-10,Inning_2_leadoff,Changeup
777974,2025-05-10,Batter_3,Sweeper
777974,2025-05-10,Batter_2,Sinker
777891,2025-05-16,Inning_3_leadoff,Sweeper
777891,2025-05-16,Inning_2_leadoff,Sinker
777891,2025-05-16,Batter_3,Sinker
777891,2025-05-16,Batter_2,Sinker
777819,2025-05-21,Inning_3_leadoff,Sweeper
777819,2025-05-21,Inning_2_leadoff,Sinker
777819,2025-05-21,Batter_3,Sweeper
777819,2025-05-21,Batter_2,Sinker
777755,2025-05-27,Inning_3_leadoff,Sinker
777755,2025-05-27,Inning_2_leadoff,Sinker
777755,2025-05-27,Batter_3,Sinker
777755,2025-05-27,Batter_2,Sinker
777676,2025-06-02,Inning_3_leadoff,Sinker
777676,2025-06-02,Inning_2_leadoff,Sweeper
777676,2025-06-02,Batter_3,Changeup
777676,2025-06-02,Batter_2,Sinker
777598,2025-06-07,Inning_3_leadoff,Sweeper
777598,2025-06-07,Inning_2_leadoff,Sweeper
777598,2025-06-07,Batter_3,Sinker
777598,2025-06-07,Batter_2,Sinker
777522,2025-06-13,Inning_3_leadoff,Cutter
777522,2025-06-13,Inning_2_leadoff,Sinker
777522,2025-06-13,Batter_3,4-Seam Fastball
777522,2025-06-13,Batter_2,Sinker
777440,2025-06-19,Inning_3_leadoff,Changeup
777440,2025-06-19,Inning_2_leadoff,Sinker
777440,2025-06-19,Batter_3,Sinker
777440,2025-06-19,Batter_2,Sweeper
777355,2025-06-25,Inning_3_leadoff,Sinker
777355,2025-06-25,Inning_2_leadoff,Sweeper
777355,2025-06-25,Batter_3,Sinker
777355,2025-06-25,Batter_2,Sinker
777291,2025-06-30,Inning_3_leadoff,Sinker
777291,2025-06-30,Inning_2_leadoff,Sweeper
777291,2025-06-30,Batter_3,Sinker
777291,2025-06-30,Batter_2,Sweeper
777227,2025-07-05,Inning_3_leadoff,Sinker
777227,2025-07-05,Inning_2_leadoff,Sweeper
777227,2025-07-05,Batter_3,Sinker
777227,2025-07-05,Batter_2,Sinker
777143,2025-07-11,Inning_3_leadoff,Cutter
777143,2025-07-11,Inning_2_leadoff,Sweeper
777143,2025-07-11,Batter_3,Sinker
777143,2025-07-11,Batter_2,Cutter
777094,2025-07-19,Inning_3_leadoff,Changeup
777094,2025-07-19,Inning_2_leadoff,Sweeper
777094,2025-07-19,Batter_3,Sinker
777094,2025-07-19,Batter_2,Changeup
