bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,15,100.0
Batter_2,4-Seam Fastball,12,80.0
Batter_2,Changeup,1,6.7
Batter_2,Cutter,1,6.7
Batter_2,Sinker,1,6.7
Batter_3,4-Seam Fastball,7,46.7
Batter_3,Changeup,2,13.3
Batter_3,Cutter,2,13.3
Batter_3,Sinker,3,20.0
Batter_3,Slurve,1,6.7
Inning_2_leadoff,4-Seam Fastball,12,85.7
Inning_2_leadoff,Sinker,1,7.1
Inning_2_leadoff,Slurve,1,7.1
Inning_3_leadoff,4-Seam Fastball,5,35.7
Inning_3_leadoff,Cutter,1,7.1
Inning_3_leadoff,Sinker,3,21.4
Inning_3_leadoff,Slurve,5,35.7
