game_pk,game_date,bucket,pitch_name
778475,2025-04-02,Inning_3_leadoff,Changeup
778475,2025-04-02,Inning_2_leadoff,Sinker
778475,2025-04-02,Batter_3,Curveball
778475,2025-04-02,Batter_2,Sinker
778475,2025-04-02,Batter_1,Sinker
778397,2025-04-08,Inning_3_leadoff,Sinker
778397,2025-04-08,Inning_2_leadoff,Sinker
778397,2025-04-08,Batter_3,Sinker
778397,2025-04-08,Batter_2,Sinker
778397,2025-04-08,Batter_1,Sinker
778320,2025-04-14,Inning_3_leadoff,Curveball
778320,2025-04-14,Inning_2_leadoff,Sinker
778320,2025-04-14,Batter_3,Curveball
778320,2025-04-14,Batter_2,Sinker
778320,2025-04-14,Batter_1,Sinker
778243,2025-04-19,Inning_3_leadoff,Sinker
778243,2025-04-19,Inning_2_leadoff,Curveball
778243,2025-04-19,Batter_3,Sinker
778243,2025-04-19,Batter_2,Sinker
778243,2025-04-19,Batter_1,Sinker
778194,2025-04-24,Inning_3_leadoff,Curveball
778194,2025-04-24,Inning_2_leadoff,Curveball
778194,2025-04-24,Batter_3,Sinker
778194,2025-04-24,Batter_2,Sinker
778194,2025-04-24,Batter_1,Sinker
778105,2025-04-30,Inning_3_leadoff,Sinker
778105,2025-04-30,Inning_2_leadoff,Curveball
778105,2025-04-30,Batter_3,Curveball
778105,2025-04-30,Batter_2,Sinker
778105,2025-04-30,Batter_1,Sinker
778044,2025-05-05,Inning_3_leadoff,Sinker
778044,2025-05-05,Inning_2_leadoff,Sinker
778044,2025-05-05,Batter_3,Sinker
778044,2025-05-05,Batter_2,Curveball
778044,2025-05-05,Batter_1,Sinker
777956,2025-05-11,Inning_3_leadoff,Curveball
777956,2025-05-11,Inning_2_leadoff,Sinker
777956,2025-05-11,Batter_3,Curveball
777956,2025-05-11,Batter_2,Sinker
777956,2025-05-11,Batter_1,Sinker
777879,2025-05-17,Inning_3_leadoff,Sinker
777879,2025-05-17,Inning_2_leadoff,Sinker
777879,2025-05-17,Batter_3,Sinker
777879,2025-05-17,Batter_2,Sinker
777879,2025-05-17,Batter_1,Sinker
777801,2025-05-23,Inning_3_leadoff,Sinker
777801,2025-05-23,Inning_2_leadoff,Sinker
777801,2025-05-23,Batter_3,Sinker
777801,2025-05-23,Batter_2,Sinker
777801,2025-05-23,Batter_1,Curveball
777738,2025-05-28,Inning_3_leadoff,Sinker
777738,2025-05-28,Inning_2_leadoff,Sinker
777738,2025-05-28,Batter_3,Sinker
777738,2025-05-28,Batter_2,Sinker
777738,2025-05-28,Batter_1,Sinker
777656,2025-06-03,Inning_3_leadoff,Sinker
777656,2025-06-03,Inning_2_leadoff,Sinker
777656,2025-06-03,Batter_3,Curveball
777656,2025-06-03,Batter_2,Sinker
777656,2025-06-03,Batter_1,Sinker
777587,2025-06-08,Inning_3_leadoff,Sinker
777587,2025-06-08,Inning_2_leadoff,Curveball
777587,2025-06-08,Batter_3,Curveball
777587,2025-06-08,Batter_2,Curveball
777587,2025-06-08,Batter_1,Sinker
777506,2025-06-14,Inning_2_leadoff,Sinker
777506,2025-06-14,Batter_3,Cutter
777506,2025-06-14,Batter_2,Sinker
777506,2025-06-14,Batter_1,Curveball
777417,2025-06-21,Inning_3_leadoff,Sinker
777417,2025-06-21,Inning_2_leadoff,Curveball
777417,2025-06-21,Batter_3,Sinker
777417,2025-06-21,Batter_2,Sinker
777417,2025-06-21,Batter_1,Sinker
777338,2025-06-27,Inning_3_leadoff,Sinker
777338,2025-06-27,Inning_2_leadoff,Sinker
777338,2025-06-27,Batter_3,Sinker
777338,2025-06-27,Batter_2,Sinker
777338,2025-06-27,Batter_1,Sinker
777270,2025-07-02,Inning_3_leadoff,Curveball
777270,2025-07-02,Inning_2_leadoff,Changeup
777270,2025-07-02,Batter_3,Changeup
777270,2025-07-02,Batter_2,Sinker
777270,2025-07-02,Batter_1,Sinker
777199,2025-07-07,Inning_3_leadoff,Sinker
777199,2025-07-07,Inning_2_leadoff,Sinker
777199,2025-07-07,Batter_3,Changeup
777199,2025-07-07,Batter_2,Sinker
777199,2025-07-07,Batter_1,Sinker
777127,2025-07-12,Inning_3_leadoff,Curveball
777127,2025-07-12,Inning_2_leadoff,Sinker
777127,2025-07-12,Batter_3,Sinker
777127,2025-07-12,Batter_2,Sinker
777127,2025-07-12,Batter_1,Sinker
777058,2025-07-22,Inning_3_leadoff,Cutter
777058,2025-07-22,Inning_2_leadoff,Sinker
777058,2025-07-22,Batter_3,Curveball
777058,2025-07-22,Batter_2,Sinker
777058,2025-07-22,Batter_1,Sinker
776729,2025-08-15,Inning_3_leadoff,Sinker
776729,2025-08-15,Inning_2_leadoff,Sinker
776729,2025-08-15,Batter_3,Sinker
776729,2025-08-15,Batter_2,Sinker
776729,2025-08-15,Batter_1,Sinker
776656,2025-08-20,Inning_3_leadoff,Sinker
776656,2025-08-20,Inning_2_leadoff,Sinker
776656,2025-08-20,Batter_3,Curveball
776656,2025-08-20,Batter_2,Sinker
776656,2025-08-20,Batter_1,Sinker
