bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,81.8
Batter_1,Cutter,2,9.1
Batter_1,Sinker,1,4.5
Batter_1,Slider,1,4.5
Batter_2,4-Seam Fastball,9,40.9
Batter_2,Changeup,5,22.7
Batter_2,Curveball,3,13.6
Batter_2,Cutter,3,13.6
Batter_2,Sinker,1,4.5
Batter_2,Slider,1,4.5
Batter_3,4-Seam Fastball,4,18.2
Batter_3,Changeup,2,9.1
Batter_3,Curveball,1,4.5
Batter_3,Cutter,8,36.4
Batter_3,Sinker,1,4.5
Batter_3,Slider,6,27.3
Inning_2_leadoff,4-Seam Fastball,9,40.9
Inning_2_leadoff,Cutter,12,54.5
Inning_2_leadoff,Sinker,1,4.5
Inning_3_leadoff,4-Seam Fastball,6,27.3
Inning_3_leadoff,Changeup,1,4.5
Inning_3_leadoff,Curveball,2,9.1
Inning_3_leadoff,Cutter,11,50.0
Inning_3_leadoff,Sinker,2,9.1
