bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,6,50.0
Batter_2,Curveball,1,8.3
Batter_2,Cutter,4,33.3
Batter_2,Slider,1,8.3
Batter_3,4-Seam Fastball,5,38.5
Batter_3,Cutter,4,30.8
Batter_3,Sinker,3,23.1
Batter_3,Slider,1,7.7
Inning_2_leadoff,4-Seam Fastball,5,38.5
Inning_2_leadoff,Curveball,1,7.7
Inning_2_leadoff,Cutter,3,23.1
Inning_2_leadoff,Sinker,1,7.7
Inning_2_leadoff,Slider,1,7.7
Inning_2_leadoff,Sweeper,2,15.4
Inning_3_leadoff,4-Seam Fastball,6,46.2
Inning_3_leadoff,Curveball,1,7.7
Inning_3_leadoff,Cutter,2,15.4
Inning_3_leadoff,Sinker,1,7.7
Inning_3_leadoff,Sweeper,3,23.1
Leadoff_2nd_PA,4-Seam Fastball,2,15.4
Leadoff_2nd_PA,Cutter,6,46.2
Leadoff_2nd_PA,Forkball,2,15.4
Leadoff_2nd_PA,Sinker,1,7.7
Leadoff_2nd_PA,Slider,1,7.7
Leadoff_2nd_PA,Sweeper,1,7.7
