bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,8,40.0
Batter_1,Sinker,12,60.0
Batter_2,4-Seam Fastball,6,30.0
Batter_2,Sinker,9,45.0
Batter_2,Sweeper,5,25.0
Batter_3,4-Seam Fastball,2,10.0
Batter_3,Changeup,3,15.0
Batter_3,Sinker,10,50.0
Batter_3,Slider,1,5.0
Batter_3,Sweeper,4,20.0
Inning_2_leadoff,4-Seam Fastball,5,25.0
Inning_2_leadoff,Changeup,1,5.0
Inning_2_leadoff,Sinker,9,45.0
Inning_2_leadoff,Sweeper,5,25.0
Inning_3_leadoff,4-Seam Fastball,3,15.0
Inning_3_leadoff,Changeup,2,10.0
Inning_3_leadoff,Sinker,8,40.0
Inning_3_leadoff,Slider,2,10.0
Inning_3_leadoff,Sweeper,5,25.0
