game_pk,game_date,bucket,pitch_name
777884,2025-05-17,Inning_3_leadoff,Slider
777884,2025-05-17,Inning_2_leadoff,4-Seam Fastball
777884,2025-05-17,Batter_3,Slider
777884,2025-05-17,Batter_2,4-Seam Fastball
777884,2025-05-17,Batter_1,4-Seam Fastball
777808,2025-05-23,Inning_2_leadoff,4-Seam Fastball
777808,2025-05-23,Batter_3,4-Seam Fastball
777808,2025-05-23,Batter_2,4-Seam Fastball
777808,2025-05-23,Batter_1,4-Seam Fastball
777739,2025-05-28,Inning_3_leadoff,4-Seam Fastball
777739,2025-05-28,Inning_2_leadoff,4-Seam Fastball
777739,2025-05-28,Batter_3,4-Seam Fastball
777739,2025-05-28,Batter_2,4-Seam Fastball
777739,2025-05-28,Batter_1,4-Seam Fastball
777657,2025-06-03,Inning_3_leadoff,4-Seam Fastball
777657,2025-06-03,Inning_2_leadoff,4-Seam Fastball
777657,2025-06-03,Batter_3,Slider
777657,2025-06-03,Batter_2,4-Seam Fastball
777657,2025-06-03,Batter_1,4-Seam Fastball
777582,2025-06-08,Inning_3_leadoff,4-Seam Fastball
777582,2025-06-08,Inning_2_leadoff,4-Seam Fastball
777582,2025-06-08,Batter_3,4-Seam Fastball
777582,2025-06-08,Batter_2,4-Seam Fastball
777582,2025-06-08,Batter_1,4-Seam Fastball
777506,2025-06-14,Inning_3_leadoff,4-Seam Fastball
777506,2025-06-14,Inning_2_leadoff,4-Seam Fastball
777506,2025-06-14,Batter_3,Slider
777506,2025-06-14,Batter_2,Slider
777506,2025-06-14,Batter_1,4-Seam Fastball
777427,2025-06-20,Inning_3_leadoff,4-Seam Fastball
777427,2025-06-20,Inning_2_leadoff,Slider
777427,2025-06-20,Batter_3,4-Seam Fastball
777427,2025-06-20,Batter_2,4-Seam Fastball
777427,2025-06-20,Batter_1,4-Seam Fastball
777344,2025-06-26,Inning_3_leadoff,4-Seam Fastball
777344,2025-06-26,Inning_2_leadoff,4-Seam Fastball
777344,2025-06-26,Batter_3,4-Seam Fastball
777344,2025-06-26,Batter_2,4-Seam Fastball
777344,2025-06-26,Batter_1,4-Seam Fastball
777267,2025-07-02,Inning_3_leadoff,4-Seam Fastball
777267,2025-07-02,Inning_2_leadoff,4-Seam Fastball
777267,2025-07-02,Batter_3,Slider
777267,2025-07-02,Batter_2,4-Seam Fastball
777267,2025-07-02,Batter_1,4-Seam Fastball
777193,2025-07-08,Inning_3_leadoff,4-Seam Fastball
777193,2025-07-08,Inning_2_leadoff,4-Seam Fastball
777193,2025-07-08,Batter_3,Slider
777193,2025-07-08,Batter_2,4-Seam Fastball
777193,2025-07-08,Batter_1,4-Seam Fastball
777070,2025-07-20,Inning_3_leadoff,4-Seam Fastball
777070,2025-07-20,Inning_2_leadoff,4-Seam Fastball
777070,2025-07-20,Batter_3,Curveball
777070,2025-07-20,Batter_2,4-Seam Fastball
777070,2025-07-20,Batter_1,4-Seam Fastball
776998,2025-07-26,Inning_3_leadoff,Slider
776998,2025-07-26,Inning_2_leadoff,Slider
776998,2025-07-26,Batter_3,4-Seam Fastball
776998,2025-07-26,Batter_2,4-Seam Fastball
776998,2025-07-26,Batter_1,4-Seam Fastball
776918,2025-08-01,Inning_3_leadoff,4-Seam Fastball
776918,2025-08-01,Inning_2_leadoff,Slider
776918,2025-08-01,Batter_3,Slider
776918,2025-08-01,Batter_2,4-Seam Fastball
776918,2025-08-01,Batter_1,4-Seam Fastball
776823,2025-08-08,Inning_3_leadoff,Slider
776823,2025-08-08,Inning_2_leadoff,4-Seam Fastball
776823,2025-08-08,Batter_3,4-Seam Fastball
776823,2025-08-08,Batter_2,4-Seam Fastball
776823,2025-08-08,Batter_1,4-Seam Fastball
