bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,17,81.0
Batter_1,Sinker,4,19.0
Batter_2,4-Seam Fastball,15,71.4
Batter_2,Changeup,1,4.8
Batter_2,Curveball,3,14.3
Batter_2,Slider,1,4.8
Batter_2,Sweeper,1,4.8
Batter_3,4-Seam Fastball,8,38.1
Batter_3,Changeup,1,4.8
Batter_3,Curveball,4,19.0
Batter_3,Sinker,3,14.3
Batter_3,Slider,2,9.5
Batter_3,Sweeper,3,14.3
Inning_2_leadoff,4-Seam Fastball,6,28.6
Inning_2_leadoff,Curveball,6,28.6
Inning_2_leadoff,Sinker,4,19.0
Inning_2_leadoff,Slider,4,19.0
Inning_2_leadoff,Sweeper,1,4.8
Inning_3_leadoff,4-Seam Fastball,8,38.1
Inning_3_leadoff,Changeup,1,4.8
Inning_3_leadoff,Curveball,4,19.0
Inning_3_leadoff,Sinker,5,23.8
Inning_3_leadoff,Slider,1,4.8
Inning_3_leadoff,Sweeper,2,9.5
