bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,75.0
Batter_1,Sinker,6,25.0
Batter_2,4-Seam Fastball,17,70.8
Batter_2,Sinker,4,16.7
Batter_2,Slider,3,12.5
Batter_3,4-Seam Fastball,13,54.2
Batter_3,Sinker,8,33.3
Batter_3,Slider,1,4.2
Batter_3,Sweeper,2,8.3
Inning_2_leadoff,4-Seam Fastball,7,29.2
Inning_2_leadoff,Sinker,9,37.5
Inning_2_leadoff,Slider,5,20.8
Inning_2_leadoff,Sweeper,3,12.5
Inning_3_leadoff,4-Seam Fastball,12,50.0
Inning_3_leadoff,Changeup,1,4.2
Inning_3_leadoff,Sinker,6,25.0
Inning_3_leadoff,Slider,3,12.5
Inning_3_leadoff,Sweeper,2,8.3
